City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
112,pattoki,31.0167,73.85,25.56,26,0,4.54,PK,1708417018
113,afif,23.9065,42.9172,19.67,22,4,1.27,SA,1708417091
114,palmer,42.1584,-72.3287,-6.03,58,0,0.0,US,1708417091
115,olonkinbyen,70.9221,-8.7187,0.17,99,100,6.95,SJ,1708417093
116,kourou,5.1552,-52.6478,26.03,86,94,3.95,GF,1708417093
117,praia,14.9215,-23.5087,24.3,60,1,9.77,CV,1708417094
118,daru,-9.0763,143.2092,28.35,83,93,3.57,PG,1708417095
119,nouadhibou,20.931,-17.0347,19.99,40,0,6.17,MR,1708417095
120,quepos,9.4236,-84.1652,25.79,72,86,2.32,CR,1708417096
121,thompson,55.7435,-97.8558,-27.91,76,20,0.0,CA,1708417096
122,vilyuysk,63.7553,121.6247,-30.0,99,95,1.34,RU,1708417097
123,nova sintra,14.8667,-24.7167,21.16,75,0,7.01,CV,1708417098
124,tual,-5.6667,132.75,28.98,78,38,4.57,ID,1708417098
125,aars,56.804,9.5144,5.77,90,99,5.74,DK,1708417099
126,petropavlovsk-kamchatsky,53.0452,158.6483,-5.67,91,75,2.24,RU,1708417099
127,puerto deseado,-47.7503,-65.8938,15.37,81,7,5.31,AR,1708417100
128,roxas,11.5853,122.7511,26.75,67,23,4.21,PH,1708417101
129,luanda,-8.8368,13.2343,27.0,89,75,3.09,AO,1708417038
130,vilyuchinsk,52.9306,158.4028,-4.85,90,99,4.44,RU,1708417102
131,tuba city,36.135,-111.2399,8.64,49,100,2.59,US,1708417103
132,nar'yan-mar,67.6713,53.087,-7.72,91,100,9.83,RU,1708417103
133,khovd,48.0056,91.6419,-19.0,55,100,2.5,MN,1708417104
134,port alfred,-33.5906,26.891,27.28,62,0,9.26,ZA,1708417104
135,delvada,20.7667,71.0333,28.93,45,0,7.0,IN,1708417105
136,ilebo,-4.3167,20.5833,29.89,61,100,1.6,CD,1708417042
137,dutse,11.7594,9.3392,26.09,13,6,3.14,NG,1708417106
138,santa elena de uairen,4.6167,-61.1333,17.14,83,99,2.08,VE,1708417107
139,la ronge,55.1001,-105.2842,-18.86,78,0,1.03,CA,1708417108
140,bethel,41.3712,-73.414,-4.17,61,0,0.0,US,1708417108
141,kone,-21.0595,164.8658,26.84,77,73,1.3,NC,1708417109
142,brookings,44.3114,-96.7984,-3.08,96,0,2.06,US,1708417109
143,aoulef,26.9667,1.0833,18.09,32,0,8.39,DZ,1708417110
